log10(E/GeV)            Area[m^2]

0.984375		 0		  
1.01562 		 0	       
1.04688 		 0	       
1.07812 		 0	       
1.10938 		 0	       
1.14062 		 0	       
1.17188 		 0	       
1.20312 		 0	       
1.23438 		 0	       
1.26562 		 0	       
1.29688   		17.7793       
1.32812   		32.0229       
1.35938   		42.5872       
1.39062   		40.2201       
1.42188   		71.2932       
1.45312   		82.2442       
1.48438   		159.349       
1.51562   		144.964       
1.54688   		180.151       
1.57812   		250.834       
1.60938   		287.233       
1.64062   		490.089       
1.67188 	        433.24	     
1.70312  		575.541       
1.73438  		718.268       
1.76562  		951.272       
1.79688  		1095.57       
1.82812  		1400.34       
1.85938  		1700.73       
1.89062  		2000.44       
1.92188  		2542.92       
1.95312  		3158.19       
1.98438  		3412.18       
2.01562  		4167.33       
2.04688  		4962.6        
2.07812 		6047.85       
2.10938  		7278.4        
2.14062  		8159.9        
2.17188 	 	9410.61       
2.20312 	        10454.2       
2.23438 	 	12711.4       
2.26562 	 	14580.3       
2.29688 	 	16876.7       
2.32812 	 	18352.3       
2.35938 	 	20860.3       
2.39062 	 	23126.9       
2.42188 	 	26533.8       
2.45312 	 	29019.2       
2.48438 	 	32040.6       
2.51562 	 	34425.1       
2.54688 	 	36879.5       
2.57812 	 	38885.6       
2.60938 	 	41272.5       
2.64062 	 	43003.5       
2.67188 	 	44643.3       
2.70312 	 	46013.9       
2.73438 	 	46798.4       
2.76562 	 	47548.4       
2.79688  	        48027 	
2.82812   		48303.8       
2.85938   		48471.5       
2.89062   		48624.5       
2.92188   		48581.7       
2.95312   		48725.8       
2.98438   		48701.6       
3.01562   		48716.5       
3.04688   		48724.1       
3.07812   		48698.9       
3.10938      	 	48727	      
3.14062   		48745.5       
3.17188   		48760.6       
3.20312   		48760.4       
3.23438   		48724.3       
3.26562   		48744.8       
3.29688   		48731.2       
3.32812   		48739.7       
3.35938   		48754.6       
3.39062   		48755	      
3.42188   		48754.7       
3.45312   		48723.4       
3.48438   		48755.1       
3.51562   		48755.7       
3.54688   		48755.4       
3.57812   		48756.3       
3.60938   		48756.4       
3.64062   		48757.1       
3.67188   		48757.4       
3.70312   		48757.4       
3.73438   		48757.6       
3.76562   		48758.5       
3.79688   		48759	      
3.82812   		48759.1       
3.85938   		48759.9       
3.89062   		48760.1       
3.92188   		48760.6       
3.95312   		48761.1       
3.98438   		48761.5       
4.01562   		48761.9       
4.04688   		48762	      
4.07812   		48761.6       
4.10938   		48761.6       
4.14062   		48761.6       
4.17188   		48761.4       
4.20312   		48761.4       
4.23438   		48761.2       
4.26562   		48760.9       
4.29688   		48760.5       
4.32812   		48760.2       
4.35938   		48760	      
4.39062      	 	48760	      
4.42188      	 	48760	      
4.45312   		48759.7       
4.48438   		48759.6       
4.51562   		48759.2       
4.54688   		48759.2       
4.57812   		48758.7       
4.60938   		48759	      
4.64062   		48758.5       
4.67188   		48758.8       
4.70312   		48758.7       
4.73438   		48758.9       
4.76562   		48758.8       
4.79688   		48759.1       
4.82812   		48759.4       
4.85938   		48759	      
4.89062   		48759.3       
4.92188   		48759.7       
4.95312   		48759.3       
4.98438   		48759.3       
5.01562   		48759.6       
5.04688   		48760.2       
5.07812   		48759.7       
5.10938   		48760	      
5.14062   		48760.1       
5.17188   		48760.7       
5.20312   		48760.6       
5.23438   		48760.4       
5.26562   		48760.7       
5.29688   		48760.6       
5.32812   		48760.6       
5.35938   		48760.6       
5.39062   		48760.6       
5.42188   		48760.6       
5.45312   		48760.6       
5.48438   		48760.6       
5.51562   		48760.5       
5.54688   		48760.6       
5.57812   		48760.5       
5.60938   		48760.5       
5.64062   		48760.5       
5.67188   		48760.5       
5.70312   		48760	      
5.73438   		 0	       
5.76562 		 0	       
5.79688 		 0	       
5.82812 		 0	       
5.85938 		 0	       
5.89062 		 0	       
5.92188 		 0	       
5.95312 		 0	       
5.98438 		 0	       
6.01562 		 0	       
