E_min(TeV)       E_max(TeV)          BckRate(Hz/sr)
0.1       0.11885           0
0.11885       0.141254           0
0.141254       0.16788           0
0.16788       0.199526           0
0.199526       0.237137           0
0.237137       0.281838           661.008
0.281838       0.334965           2310.21
0.334965       0.398107           1299.19
0.398107       0.473151           476.983
0.473151       0.562341           188.493
0.562341       0.668344           62.1167
0.668344       0.794328           32.1936
0.794328       0.944061           16.0574
0.944061       1.12202           8.35137
1.12202       1.33352           4.39436
1.33352       1.58489           2.81992
1.58489       1.88365           1.92355
1.88365       2.23872           1.03452
2.23872       2.66073           0.563478
2.66073       3.16228           0.283755
3.16228       3.75837           0.178805
3.75837       4.46684           0.142064
4.46684       5.30884           0.107267
5.30884       6.30957           0.0866161
6.30957       7.49894           0.0554078
7.49894       8.91251           0.0382821
8.91251       10.5925           0.0283507
10.5925       12.5893           0.0220764
12.5893       14.9624           0.0158177
14.9624       17.7828           0.0116466
17.7828       21.1349           0.00823553
21.1349       25.1189           0.00692041
25.1189       29.8538           0.00446943
29.8538       35.4813           0.00263935
35.4813       42.1697           0.00203302
42.1697       50.1187           0.00135453
50.1187       59.5662           0.00107112
59.5662       70.7946           0.000825112
70.7946       84.1395           0.000658681
84.1395       100           0.000429674
